,concepts,sentence
122,['beach' 'spend' 'time'],spending some time on the beach
123,['cob' 'corn' 'eat'],cat eating corn on the cob
124,['cob' 'corn' 'eat'],child eating a cob of corn .
125,['cob' 'corn' 'eat'],A boy is trying to eat corn on the cob.
126,['eat' 'hay' 'sheep'],sheeps eat hay on the farm .
127,['eat' 'hay' 'sheep'],several sheep eating hay in a barn
128,['eat' 'hay' 'sheep'],sheep in a pen with some hay to eat
129,['computer' 'student' 'work'],a student works on a computer
130,['computer' 'student' 'work'],student working at a computer
131,['computer' 'student' 'work'],students working on the computer .
132,['airport' 'luggage' 'wait'],People wait for their luggage at an airport.
133,['airport' 'luggage' 'wait'],Man waiting next to his luggage at an airport.
134,['airport' 'luggage' 'wait'],Several men waiting on their luggage at the airport.
135,['bridge' 'pass' 'ship'],the ship passes under the bridge
136,['bridge' 'pass' 'ship'],with cargo ship passing under bridge
137,['bridge' 'pass' 'ship'],A bridge rises to let two ships pass.
138,['bouquet' 'bride' 'flower'],a bride with a bouquet of flowers
139,['bouquet' 'bride' 'flower'],the bride chose glorious flowers for the bouquets
140,['bouquet' 'bride' 'flower'],a bouquet of yellow and orange flowers for the bride .
141,['cake' 'couple' 'stand'],the couple stands by the cake
142,['cake' 'couple' 'stand'],The couple is standing next to a cake.
143,['cake' 'couple' 'stand'],A couple stands behind their wedding cake.
144,['cat' 'stare' 'window'],cat staring at the window
145,['cat' 'stare' 'window'],A cat staring out a window.
146,['cat' 'stare' 'window'],The cat stares out of a four paned window.
147,['hospital' 'nurse' 'patient'],nurse with a patient in the hospital
148,['hospital' 'nurse' 'patient'],nurse visiting her patient at the hospital
149,['hospital' 'nurse' 'patient'],nurses take care of a patient at a hospital .
150,['blanket' 'dog' 'lie'],pug dog lying under a blanket
151,['blanket' 'dog' 'lie'],A man lies on a blanket with his dog.
152,['blanket' 'dog' 'lie'],The dog and her puppies lay on a blanket.
153,['farmer' 'field' 'plow'],A farmer plows his field.
154,['farmer' 'field' 'plow'],The farmer is plowing his field.
155,['farmer' 'field' 'plow'],A couple of farmers plowing a field
156,['blanket' 'cat' 'lie'],cat lying on a blanket
157,['blanket' 'cat' 'lie'],Two cats lay together on a blanket. 
158,['blanket' 'cat' 'lie'],cat lying in a blanket in the sunlight
159,['painting' 'room' 'wall'],living room with painting on the wall
160,['painting' 'room' 'wall'],A room that has a lot of paintings on the wall.
161,['painting' 'room' 'wall'],there were numerous paintings on the walls in this room .
162,['head' 'skier' 'slope'],The skier is headed down a slope.
163,['head' 'skier' 'slope'],A group of skiers heading down the slopes
164,['head' 'skier' 'slope'],Skiers are headed down a small slope by their cabin.
165,['daughter' 'mother' 'smile'],mother and daughter smiling in the winter
166,['daughter' 'mother' 'smile'],mother and daughter embrace and smile on a beach
167,['daughter' 'mother' 'smile'],A mother and daughter are smiling close together.
168,['family' 'friend' 'gather'],gather your friends and family .
169,['family' 'friend' 'gather'],friend and family gathered round the font
170,['family' 'friend' 'gather'],friends and family gather often for a buffet .
171,['horse' 'plow' 'pull'],A horse is pulling a plow.
172,['horse' 'plow' 'pull'],The horses are pulling the plow.
173,['horse' 'plow' 'pull'],women guide a plow pulled by draft horses
174,['meal' 'share' 'table'],people sharing a meal at a table
175,['meal' 'share' 'table'],a large dining table for guests to share meals
176,['meal' 'share' 'table'],The woman and children share a meal at the table.
177,['building' 'construction' 'crane'],cranes and buildings under construction
178,['building' 'construction' 'crane'],large crane over a building under construction
179,['building' 'construction' 'crane'],construction the buildings with the help of cranes
180,['bow' 'ribbon' 'tie'],gold ribbon tied in a bow
181,['bow' 'ribbon' 'tie'],tie a basic bow with ribbon
182,['bow' 'ribbon' 'tie'],white gift box with red ribbon tied in a bow
183,['family' 'park' 'picnic'],family on the picnic in park
184,['family' 'park' 'picnic'],A family has a picnic at the park.
185,['family' 'park' 'picnic'],young family having picnic in a park
186,['reflect' 'sunlight' 'water'],sunlight reflected in the water
187,['reflect' 'sunlight' 'water'],sunlight reflecting off the water
188,['reflect' 'sunlight' 'water'],rays of sunlight reflect off chilly waters
189,['passenger' 'sit' 'train'],passengers sitting in a train
190,['passenger' 'sit' 'train'],passengers sit aboard a train at the station .
191,['passenger' 'sit' 'train'],A cable train with passengers sit on it tracks.
192,['clock' 'room' 'wall'],A small clock on a wall in a room.
193,['clock' 'room' 'wall'],A clock rests along the wall of a room.
194,['clock' 'room' 'wall'],There are two clocks on the wall in the room.
195,['ceiling' 'room' 'wall'],damp on walls and ceiling of a room
196,['ceiling' 'room' 'wall'],walls add refinement to the room with slanted ceiling
197,['bone' 'chew' 'dog'],a dog chews a bone
198,['bone' 'chew' 'dog'],The dog is chewing a bone.
199,['bone' 'chew' 'dog'],Dogs lay down and chew bones
200,['airport' 'plane' 'wait'],planes waiting at an airport
201,['airport' 'plane' 'wait'],a plane waits to depart from airport
202,['airport' 'plane' 'wait'],plane waiting on the apron of airport
203,['skier' 'slope' 'way'],A skier navigating his way down a slope.
204,['skier' 'slope' 'way'],Skiers are making their way down a slope.
205,['skier' 'slope' 'way'],a skier makes his way down the slopes on tuesday .
206,['descend' 'skier' 'slope'],The skier descended down the slope.
207,['descend' 'skier' 'slope'],A skier slowly descending the slope.
208,['descend' 'skier' 'slope'],A skier bends his knees as he descends a slope.
209,['bowl' 'salad' 'vegetable'],fresh salad with vegetables in a bowl
210,['bowl' 'salad' 'vegetable'],A bowl full of salad and different vegetables
211,['bowl' 'salad' 'vegetable'],"A bowl of soup, bagel with hummus and fresh vegetable salad"
212,['bed' 'pillow' 'sleep'],kitten sleeping on a pillow in bed
213,['bed' 'pillow' 'sleep'],man in bed trying to sleep with a pillow
214,['bed' 'pillow' 'sleep'],a small baby sleeping on the bed with pillows
215,['herd' 'pasture' 'sheep'],herd of sheep on a pasture .
216,['herd' 'pasture' 'sheep'],herd of sheep in the pasture
217,['herd' 'pasture' 'sheep'],A herd of sheep grazing in an open pasture.
218,['beach' 'collect' 'shell'],A man is collecting shells on the beach.
219,['beach' 'collect' 'shell'],some sea shells collected along beaches .
220,['beach' 'collect' 'shell'],another great idea for the shells we collect at the beach
221,['airport' 'board' 'plane'],travelers board a plane at the airport
222,['airport' 'board' 'plane'],Plane being boarded by people in an airport
223,['airport' 'board' 'plane'],Plane boarding passengers while at a fancy airport
224,['flight' 'passenger' 'wait'],passengers wait for their flights
225,['flight' 'passenger' 'wait'],passengers wait to get on a flight
226,['flight' 'passenger' 'wait'],passengers waiting for flight at the terminal .
227,['float' 'surface' 'water'],leaves floating on the surface of still water
228,['float' 'surface' 'water'],He dives into the water and floats to the surface.
229,['float' 'surface' 'water'],a man floats at the surface with his face in the water .
230,['bench' 'shade' 'tree'],bench in the shade of an oak tree
231,['bench' 'shade' 'tree'],two benches near a tree under the shade
232,['bench' 'shade' 'tree'],A bench positioned among the tall trees for shade
233,['horse' 'post' 'tie'],a grey horse tied to a post
234,['horse' 'post' 'tie'],Two brown horses tied up at a post.
235,['horse' 'post' 'tie'],The horse is tied up to the post outside.
236,['feed' 'park' 'pigeon'],A boy feeding pigeons at a park.
237,['feed' 'park' 'pigeon'],A woman feeds pigeons in the park.
238,['feed' 'park' 'pigeon'],flock of pigeons feeding in the grass of public park
239,['car' 'move' 'track'],cars moving along the tracks .
240,['car' 'move' 'track'],A boy is moving toy cars on a toy car track.
241,['car' 'move' 'track'],A trolley car moves down the tracks in a city.
242,['park' 'skate' 'skateboarder'],A skateboarder skating at a skate park.
243,['park' 'skate' 'skateboarder'],A group of skateboarders are skating at the park.
244,['park' 'skate' 'skateboarder'],A skateboarder skates next to a ledge in a skate park.
245,['carpet' 'dog' 'lie'],Two dogs lay on the carpet.
246,['carpet' 'dog' 'lie'],boy and his dog lying on a carpet
247,['carpet' 'dog' 'lie'],old sad grey and black dog lies on a carpet
248,['carpet' 'furniture' 'room'],A live room with beige furniture and carpets
249,['carpet' 'furniture' 'room'],A large living room has a lot of furniture and carpet.
250,['carpet' 'furniture' 'room'],A man is vaccuming the carpet in a room with no furniture.
251,['carrot' 'eat' 'rabbit'],a rabbit is eating a carrot
252,['carrot' 'eat' 'rabbit'],a group of rabbits eat carrots
253,['carrot' 'eat' 'rabbit'],bunny rabbit eating carrot in the garden
254,['boxer' 'fight' 'ring'],boxers fighting in a ring
255,['boxer' 'fight' 'ring'],boxers fight on the boxing ring
256,['boxer' 'fight' 'ring'],A pair of kick boxers fighting inside of the ring.
257,['skate' 'skateboarder' 'street'],A skateboarder skating down a street.
258,['skate' 'skateboarder' 'street'],The skateboarder skated down the street.
259,['skate' 'skateboarder' 'street'],The skateboarders skate through the city streets.
260,['boat' 'fly' 'seagull'],Seagulls fly over a boat.
261,['boat' 'fly' 'seagull'],a fishing boat with seagulls flying around
262,['boat' 'fly' 'seagull'],There are lots of seagulls flying near a boat.
263,['room' 'spend' 'time'],spend some time with us in our living room .
264,['room' 'spend' 'time'],way too much time spent in this room every day
265,['rain' 'stop' 'wait'],waiting for the rain to stop
266,['rain' 'stop' 'wait'],school girls wait for the rain to stop before continuing with class
267,['rain' 'stop' 'wait'],Five men wait in a tunnel for the rain to stop during their bike race
268,['bake' 'bread' 'oven'],bread baked in an old oven
269,['bake' 'bread' 'oven'],A woman is baking bread in the oven.
270,['bake' 'bread' 'oven'],Two loaves of bread baking in an oven.
271,['cheese' 'oven' 'pizza'],a cheese and pepperoni pizza in an oven
272,['cheese' 'oven' 'pizza'],Cheese and herb pizza fresh from the oven.
273,['cheese' 'oven' 'pizza'],An oven filled with three pizzas covered in cheese.
274,['carpet' 'room' 'wall'],A room with stone walls and colorful carpet.
275,['carpet' 'room' 'wall'],A man is installing carpet along a wall in a room.
276,['carpet' 'room' 'wall'],A wildly decorated living room with a carpet on the wall!
277,['skier' 'sky' 'slope'],skier on a slope against the cloudy sky
278,['skier' 'sky' 'slope'],A skier is headed down a slope on her skies.
279,['skier' 'sky' 'slope'],A jet in the sky and some skiers on snowy slopes
280,['light' 'shine' 'sky'],A dim light shines on the dark sky.
281,['light' 'shine' 'sky'],flight through shining lights in the sky
282,['light' 'shine' 'sky'],A bright white light shines in front of a cloudy sky.
283,['hill' 'sheep' 'walk'],Three sheep walk on the hill.
284,['hill' 'sheep' 'walk'],a herd of sheep walk on a grassy hill
285,['hill' 'sheep' 'walk'],A dark sheep is walking over the hill.
286,['boat' 'fly' 'plane'],A plane flies over a boat.
287,['boat' 'fly' 'plane'],a large boat with a plane flying above
288,['boat' 'fly' 'plane'],a blue and red plane is flying by a boat
289,['beach' 'bench' 'overlook'],A bench on a hill overlooking a beach.
290,['beach' 'bench' 'overlook'],A tree and some benches overlook the beach
291,['beach' 'bench' 'overlook'],This is an image of a bench overlooking a beach.
292,['book' 'shelf' 'stand'],book standing on a shelf
293,['book' 'shelf' 'stand'],A cat stands on a shelf full of books.
294,['book' 'shelf' 'stand'],the book standing up in a white shelf .
295,['dive' 'diver' 'water'],The diver dives out into the water.
296,['dive' 'diver' 'water'],We see the divers dive in the water.
297,['dive' 'diver' 'water'],group of divers before diving into the water
298,['cheese' 'pizza' 'put'],putting cheese on the pizza
299,['cheese' 'pizza' 'put'],A woman is putting cheese on a pizza.
300,['cheese' 'pizza' 'put'],A female child putting cheese on poorly made pizzas.
301,['grab' 'hand' 'reach'],A hand reaches and grabs him.
302,['grab' 'hand' 'reach'],He reaches up to grab someone's hand.
303,['grab' 'hand' 'reach'],hands of zombie reaching out to grab a gift box
304,['canoe' 'lake' 'sit'],A man sits in a canoe on a lake.
305,['canoe' 'lake' 'sit'],canoes sit on the shore of a lake .
306,['canoe' 'lake' 'sit'],Two men in two canoes are sitting in a lake.
307,['move' 'rail' 'train'],freight train moving on the rails
308,['move' 'rail' 'train'],a train moving along the rail with many besides
309,['station' 'subway' 'wait'],People wait outside a subway that is in the station.
310,['station' 'subway' 'wait'],A subway station with a subway waiting for passengers.
311,['station' 'subway' 'wait'],People are waiting on the subway to stop at the station.
312,['computer' 'lady' 'work'],old lady working hard on computers
313,['computer' 'lady' 'work'],a lady works on her computer at dusk visible
314,['color' 'die' 'hair'],if i ever die my hair it gon na be this color
315,['color' 'die' 'hair'],we had a fun afternoon of dying our hair funky colors
316,['color' 'die' 'hair'],A man is dying the hair of a woman with a very rich purple color
317,['enter' 'train' 'tunnel'],A train gets ready to enter a tunnel.
318,['enter' 'train' 'tunnel'],a train enters the train station in a tunnel
319,['eat' 'hay' 'trough'],goat eats hay from the trough
320,['eat' 'hay' 'trough'],a giraffe eating some hay out of a trough
321,['eat' 'hay' 'trough'],The sheep are eating hay in from a trough.
322,['lake' 'pier' 'sit'],Two people sit on a pier at a lake.
323,['lake' 'pier' 'sit'],little boy sitting on the pier of the lake
324,['lake' 'pier' 'sit'],young woman sits on a wooden pier on the lake
325,['computer' 'library' 'work'],adults working on computers in a library
326,['computer' 'library' 'work'],students work at a row of computers in the library
327,['hair' 'section' 'separate'],She separates her hair into sections.
328,['hair' 'section' 'separate'],"A woman is working on her hair, separating it into sections."
329,['hair' 'section' 'separate'],an image of a model demonstrating how to separate hair into sections .
330,['head' 'poke' 'window'],A man pokes his head out of a window.
331,['head' 'poke' 'window'],A horse's head poking through a window in a barn
332,['head' 'poke' 'window'],a zebra that has his head poked through the window
333,['ground' 'lie' 'sheep'],flock of sheep lying on the ground
334,['ground' 'lie' 'sheep'],many white sheep lying on a rocky ground
335,['ground' 'lie' 'sheep'],Two sheep lay on the ground next to each other.
336,['cat' 'leg' 'sleep'],our cat sleeps on the legs of our cat
337,['cat' 'leg' 'sleep'],A baby with its leg over a sleeping cat.
338,['cat' 'leg' 'sleep'],tree is a cat sleeping between someones legs
339,['grass' 'lie' 'tree'],Sheep lie in the shady grass around a tree. 
340,['grass' 'lie' 'tree'],A ginger cat lying in green grass under a tree
341,['grass' 'lie' 'tree'],young kangaroo lying down in the grass under trees
342,['cat' 'sleep' 'tree'],cat sleeping in a tree
343,['cat' 'sleep' 'tree'],a sleeping cat against the cherry trees
344,['cat' 'sleep' 'tree'],tree is a cat sleeping between someones legs
345,['lake' 'shore' 'walk'],Men walk along the shore of the lake.
346,['lake' 'shore' 'walk'],boys walking on the shore beside lake
347,['lake' 'shore' 'walk'],a woman walking by the shores of deepest lake
348,['airplane' 'fly' 'moon'],acrobatic airplane flying around the moon
349,['airplane' 'fly' 'moon'],An airplane flying over a big harvest moon
350,['building' 'lead' 'road'],road leads to a building and sunrise
351,['building' 'lead' 'road'],road leading up to the high rise buildings
352,['building' 'lead' 'road'],The road leads toward a tall white building.
353,['airport' 'luggage' 'passenger'],passengers collecting luggage at an airport
354,['airport' 'luggage' 'passenger'],passengers waiting for their luggage at the airport
355,['airport' 'luggage' 'passenger'],A group of passengers and their luggage at an airport.
356,['day' 'mountain' 'ski'],A man skis down a mountain on a snowy day.
357,['day' 'mountain' 'ski'],a woman skiing on a clear day in mountains
358,['day' 'mountain' 'ski'],a group of people ski down a mountain during the day
359,['come' 'stop' 'train'],the subway train comes to a stop
360,['come' 'stop' 'train'],a blue and white passenger train coming to a stop
361,['come' 'stop' 'train'],Several trains coming to a complete stop on the tracks.
362,['lady' 'push' 'wheelchair'],A lady is pushing a wheelchair.
363,['lady' 'push' 'wheelchair'],A boy is pushing an old lady in a wheelchair through the hallway.
364,['lady' 'push' 'wheelchair'],woman with dogs trying to push an elderly lady in wheelchair through gate
365,['beach' 'lay' 'towel'],little girl lays towel on the beach
366,['beach' 'lay' 'towel'],a white towel is laid out on the beach
367,['beach' 'lay' 'towel'],A man and woman are laying towels down at the beach.
368,['road' 'run' 'sheep'],run off the road by sheep
369,['road' 'run' 'sheep'],sheep running alongside a road
370,['road' 'run' 'sheep'],A small herd of sheep run down the road.
371,['fishing' 'fly' 'lake'],One man fly fishing on a lake.
372,['fishing' 'fly' 'lake'],autumn fly fishing in the lake
373,['fishing' 'fly' 'lake'],fly fishing at a mountain lake
374,['apple' 'eat' 'look'],woman looking at man eating an apple
375,['apple' 'eat' 'look'],The ornamental apples looked good enough to eat
376,['apple' 'eat' 'look'],young boy eating apple and looking at the globe
377,['cheese' 'eat' 'pizza'],A boy eats pizza and macaroni and cheese.
378,['cheese' 'eat' 'pizza'],A girl is eating pizza with tomatoes and cheese. 
379,['cheese' 'eat' 'pizza'],a hot pizza topped with cheese and olives to be eaten 
380,['cat' 'mouse' 'mouth'],cat has the mouse in mouth
381,['cat' 'mouse' 'mouth'],Black cat with mouse in mouth.
382,['cat' 'mouse' 'mouth'],hungry cat with a mouse as prey in mouth
383,['fall' 'skateboard' 'skateboarder'],The skateboarder fell off his skateboard
384,['fall' 'skateboard' 'skateboarder'],A skateboarder is about to fall off his skateboard.
385,['fall' 'skateboard' 'skateboarder'],A the skateboarders are falling off their skateboards.
386,['care' 'horse' 'take'],taking care for the horse
387,['care' 'horse' 'take'],A young girl takes care of a horse.
388,['care' 'horse' 'take'],Two women taking care of the two horses.
389,['bathroom' 'shower' 'take'],A man is in bathroom taking a shower.
390,['bathroom' 'shower' 'take'],White tiled bathroom with blue walls taken from inside shower.
391,['barber' 'give' 'haircut'],A barber giving a haircut.
392,['barber' 'give' 'haircut'],the barber gives a haircut to a young boy
393,['box' 'fill' 'room'],the white room is filled with many boxes
394,['box' 'fill' 'room'],stacks of boxes and other items fill a room
395,['box' 'fill' 'room'],Two men are playing ping pong in a room filled with boxes.
396,['car' 'highway' 'speed'],cars speeding along a highway
397,['car' 'highway' 'speed'],A flashy sports car is speeding down the highway.
398,['car' 'highway' 'speed'],The car moves faster as they speed off the highway.
399,['dock' 'ship' 'stand'],a ship stands by a dock
400,['dock' 'ship' 'stand'],some people standing on a dock and a big gray ship
401,['dock' 'ship' 'stand'],military men standing on the dock next to a ship .
402,['find' 'look' 'map'],look what i found on maps .
403,['find' 'look' 'map'],Both are looking at the map to find out the direction.
404,['find' 'look' 'map'],tourists stop to look at a map while trying to find their way
405,['room' 'screen' 'wall'],A flat screen mounted to a wall in a living room.
406,['room' 'screen' 'wall'],rooms are separated by a combination of solid walls and screens
407,['room' 'screen' 'wall'],double flat screens mounted on the wall in the conference room .
408,['mountain' 'slope' 'snowboard'],The people are on mountain snowboarding down the slope.
409,['mountain' 'slope' 'snowboard'],A wintery mountain with someone snowboarding on a slope
410,['add' 'pizza' 'topping'],adding toppings to a homemade pizza
411,['add' 'pizza' 'topping'],Five pizzas sitting on a counter as toppings are being added.
412,['add' 'pizza' 'topping'],children adding toppings to a pizza during the launch of the event .
413,['market' 'produce' 'shop'],local people shop for produce at a market .
414,['market' 'produce' 'shop'],People are shopping for produce in the market.
415,['market' 'produce' 'shop'],An older woman shopping for produce at an open market.
416,['counter' 'restaurant' 'work'],Three employees work behind the counter of a restaurant.
417,['counter' 'restaurant' 'work'],An older woman is working behind a counter at a restaurant.
418,['counter' 'restaurant' 'work'],An empty restaurant with two employees working behind the counter.
419,['beach' 'perform' 'yoga'],young woman performing yoga on a beach
420,['beach' 'perform' 'yoga'],yoga being performed at sunrise on a beach
421,['beach' 'perform' 'yoga'],group of people performing yoga on the beach
422,['audience' 'band' 'concert'],An audience at a live concert cheering on the band.
423,['audience' 'band' 'concert'],An audience awaits a concert from their favorite band
424,['audience' 'band' 'concert'],People in a band are playing a concert for a large audience.
425,['employee' 'restaurant' 'work'],The employee works for the restaurant.
426,['employee' 'restaurant' 'work'],Two employees working at a restaurant during Dinnertime.
427,['employee' 'restaurant' 'work'],Three employees work behind the counter of a restaurant.
428,['ball' 'cat' 'sleep'],cat sleeping in a ball
429,['ball' 'cat' 'sleep'],cat is sleeping with a ball of yarn .
430,['ball' 'cat' 'sleep'],domestic tabby cat curled into a ball sleeping
431,['ground' 'horse' 'lie'],gray horse lying on the ground
432,['ground' 'horse' 'lie'],I hope that horse lying the ground is not dead.
433,['ground' 'horse' 'lie'],a woman lies on the ground smiling with a horse
434,['bar' 'climb' 'playground'],A girl is climbing on some bars at a playground.
435,['bar' 'climb' 'playground'],The boy is then seen climbing on monkey bars as well as a man running around the playground.
436,['mirror' 'reflection' 'stare'],A cat stares at its reflection in a mirror.
437,['mirror' 'reflection' 'stare'],A man is staring at his reflection in the mirror. 
438,['mirror' 'reflection' 'stare'],beautiful but vain young woman staring intently at her reflection in the mirror .
439,['bathroom' 'lay' 'tile'],Man laying tile in his bathroom.
440,['bathroom' 'lay' 'tile'],Two young men laying tile in a bathroom.
441,['bathroom' 'lay' 'tile'],A cean lookign bathroom is laid out with tile
442,['add' 'bowl' 'sugar'],Sugar is added to the bowl.
443,['add' 'bowl' 'sugar'],A man is adding sugar to a bowl.
444,['add' 'bowl' 'sugar'],She adds soda and sugar to the bowl.
445,['grind' 'park' 'skateboarder'],A skateboarder in a park grinding on a rail.
446,['grind' 'park' 'skateboarder'],skateboarder grinding down the retaining wall of a park
447,['bridge' 'lake' 'walk'],People walk on a small bridge over a lake.
